"","Culture","PromLong","PromLat","Dated_Mean"
"487","Sweden_Mesolithic_0",18.1125,57.415,8925.5
"488","Sweden_Motala_0",15.05,58.54,7640.875
"489","Sweden_PWC_0",18.26,57.3657142857143,4703.42857142857
"490","Sweden_TRB_0",13.41,58.17,4755
"491","Sweden_TRB_1",17,61.66,5746
"492","Sweden_TRB_2",13.41,58.17,4978.66666666667
"493","Sweden_Viking_0",17.3718604651163,57.3240697674419,994.872093023256
"494","Sweden_Viking_1",15.1507843137255,58.6327450980392,900.607843137255
"495","Sweden_Viking_2",17.72,59.62,847
"496","Switzerland_BellBeaker_0",7.35,46.23,4175
"497","Switzerland_Bichon_0",6.87,47.1,13698
"498","Switzerland_EBA_0",9.29,47.45,2032
"499","Switzerland_EBA_1",8.7725,47.4375,3841.5
"500","Switzerland_EBA_2",8.399375,47.246875,4481.1875
"501","Switzerland_EBA_3",8.2375,47.3425,4161.5
"502","Switzerland_EBA_4",9.29,47.45,4949
"503","Switzerland_LN_0",7.25,47.01,6346.5
"504","Switzerland_LN_1",7.65052631578947,47.2931578947368,5042.73684210526
"505","Switzerland_LN_2",7.56620689655172,47.4279310344828,4831.89655172414
"506","Syria_Ebla_EMBA_0",36.8,35.8,3890.75
"507","Syria_Ebla_EMBA_1",36.8,35.8,4341.33333333333
"508","Syria_Ebla_EMBA_IA_lc_0",36.8,35.8,2818
"509","TSI_1",9,40,0
"510","Turkey_Alalakh_MLBA_0",36.38,36.24,3431.5
"511","Turkey_Alalakh_MLBA_1",36.38,36.24,3821.71428571429
"512","Turkey_Alalakh_MLBA_2",36.38,36.24,3697.36363636364
"513","Turkey_Arslantepe_EBA_0",38.36,38.38,4540
"514","Turkey_Arslantepe_LateC_0",38.36,38.38,5671.75
"515","Turkey_Arslantepe_LateC_1",38.36,38.38,5203.45454545455
"516","Turkey_Arslantepe_LateC_2",38.36,38.38,5396.66666666667
"517","Turkey_Boncuklu_N_0",32.86,37.75,10101.25
"518","Turkey_Buyukkaya_0",34.62,40.02,7516
"519","Turkey_C_0",29.56,40.3,5770
"520","Turkey_CamlibelTarlasi_LateC_0",34.59,40.02,5492.75
"521","Turkey_Central_N_0",32.87,37.75,9958
"522","Turkey_EBA_0",32.505,38.275,4574.66666666667
"523","Turkey_Epipaleolithic_0",33.03,37.48,15411
"524","Turkey_IA_0",33.79,39.35,2900
"525","Turkey_Ikiztepe_0",35.87,41.61,5185.5
"526","Turkey_Ikiztepe_1",35.87,41.61,5250.33333333333
"527","Turkey_Ikiztepe_2",35.87,41.61,5483.85714285714
"528","Turkey_Kumtepe_N_0",26.2,39.95,6550
"529","Turkey_Kumtepe_N_1",26.2,39.95,5615
"530","Turkey_MLBA_0",33.79,39.35,3800
"531","Turkey_N_0",29.5886666666667,40.2933333333333,8162.2
"532","Turkey_Ottoman_0",33.79,39.35,375
"533","Turkey_TellKurdu_0",36.44,36.33,7636.66666666667
"534","Turkey_TellKurdu_1",36.44,36.33,6889
"535","Turkey_TellKurdu_2",36.44,36.33,7576
"536","Turkey_TepecikCiftlik_0",34.49,38.17,8352
"537","Turkey_TitrisHoyuk_0",38.68,37.48,4111.71428571429
"538","Turkish_0",35.48,38.73,0
"539","Tuscan_0",11,43,0
"540","Ukraine_BA_0",34.27,47.43,4286
"541","Ukraine_Chernyakhiv_0",30.4933333333333,49.07,1596.33333333333
"542","Ukraine_Cimmerians_0",30.205,46.145,2991.5
"543","Ukraine_EBA_0",37.15,48.22,4850
"544","Ukraine_EBA_1",30.725,49.235,4734.5
"545","Ukraine_EBA_2",35.37,49.32,4620
"546","Ukraine_Eneolithic_0",25.88,48.72,5734.66666666667
"547","Ukraine_Eneolithic_1",33.76,48.91,5005
"548","Ukraine_Eneolithic_2",29.82,48.815,5535
"549","Ukraine_Globular_0",27.69,49.56,4777
"550","Ukraine_IA_0",33.812,49.331,2407.2
"551","Ukraine_LateSrubnaya_0",35.37,49.33,2587
"552","Ukraine_MBA_0",37.7,49.54,5600
"553","Ukraine_Medieval_0",25.32,50.74,700
"554","Ukraine_Mesolithic_0",33.76,48.91,8832
"555","Ukraine_Mesolithic_1",35.28,47.43,10213
"556","Ukraine_Mesolithic_2",35.21,47.865,10658
"557","Ukraine_Mesolithic_3",33.76,48.91,8099
"558","Ukraine_N_0",34.1675,48.67,6838.5
"559","Ukraine_N_1",35.28,47.43,9159
"560","Ukraine_N_2",34.5356666666667,48.4596666666667,7244.9
"561","Ukraine_N_3",35.28,47.43,8110
"562","Ukraine_Ozera_0",33.95,48.99,4955
"563","Ukraine_Scythian_0",29.6475,46.985,2475
"564","Ukraine_Viking_0",31.2233333333333,51.41,900
"565","Wales_C_0",-3.84,53.33,3563
"566","Wales_MBA_0",-3.995,52.435,3313.5
"567","Wales_Mesolithic_0",-4.69,51.63,9580
"568","Wales_N_0",-4.138,51.558,5559.8
"569","Wales_N_1",-3.54333333333333,53.0766666666667,4870.66666666667
"570","Wales_N_2",-3.25,52.4566666666667,5266.66666666667
